,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1992-08-01,0.0175,-0.0466,0.025,-0.0123,-0.0213,-0.0453,-0.0313,-0.0016,-0.0916,-0.0014000000000000002,-0.0462,-0.1085,-0.048,-0.004699999999999999,-0.0036,-0.033,-0.0219
1992-09-01,0.0106,0.0049,0.0017000000000000001,0.042,0.0335,0.0022,-0.0349,0.026099999999999998,-0.0049,-0.0054,0.0308,-0.009000000000000001,0.0166,0.0083,0.0449,0.0331,0.0172
1992-10-01,-0.0125,-0.0493,-0.0355,0.0062,-0.0163,0.0052,0.0288,0.022799999999999997,0.0154,0.0172,-0.0108,-0.003,0.0455,-0.0042,0.0453,0.0281,0.025
1992-11-01,0.0278,-0.0659,-0.025,0.08650000000000001,0.0629,0.0199,0.0326,0.0326,0.0709,0.0408,0.061,0.08349999999999999,0.0418,-0.0023,0.0725,0.06570000000000001,0.0572
1992-12-01,0.0040999999999999995,0.0363,0.0196,0.013500000000000002,-0.0052,0.0092,-0.019,0.0203,0.0404,0.023799999999999998,0.0111,0.0379,0.0464,0.0271,-0.0052,0.046,0.0233
1993-01-01,-0.0165,-0.0278,0.026699999999999998,0.0015,0.0817,-0.0219,-0.0704,-0.004,0.0653,0.016399999999999998,0.0412,0.0981,0.0033,0.0246,-0.0002,0.037200000000000004,0.011899999999999999
1993-02-01,-0.0239,0.0368,0.060700000000000004,-0.0281,0.011899999999999999,0.0036,-0.041100000000000005,0.042699999999999995,-0.0052,-0.0144,0.0017000000000000001,-0.0003,0.013000000000000001,0.0623,-0.015700000000000002,0.0091,-0.0052
1993-03-01,-0.0046,0.10310000000000001,0.0403,0.0397,0.032799999999999996,0.0206,0.0021,0.0149,-0.0078000000000000005,0.0388,0.022400000000000003,0.0565,0.0407,0.0176,0.0305,0.0431,0.023799999999999998
1993-04-01,-0.11109999999999999,0.0282,0.0106,-0.0541,-0.058899999999999994,0.029500000000000002,0.0067,-0.0311,-0.022099999999999998,-0.0072,-0.018600000000000002,0.0378,0.010700000000000001,-0.0015,-0.0882,-0.0378,-0.0281
1993-05-01,0.031400000000000004,0.061,0.0178,0.0168,0.0327,0.0196,0.022000000000000002,0.028399999999999998,0.0424,0.0182,0.0663,0.011200000000000002,0.0276,-0.0004,0.0553,0.004,0.049100000000000005
